City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
239,blackwater,-23.5833,148.8833,32.25,29,0,3.56,AU,1670288274
240,manado,1.487,124.8455,27.43,89,40,1.03,ID,1670288213
241,madang,-5.2246,145.7966,29.72,65,85,1.52,PG,1670288275
242,apaseo el alto,20.45,-100.6167,18.5,28,0,0.63,MX,1670288276
243,taber,49.8167,-112.1518,-9.09,96,100,2.57,CA,1670288276
244,luchegorsk,46.4764,134.2569,-13.71,86,7,3.55,RU,1670288276
245,erzin,36.9559,36.2,12.88,61,39,2.06,TR,1670288277
246,jieshi,22.8134,115.8257,14.14,71,100,4.43,CN,1670288277
247,noyabrsk,63.1994,75.4507,-16.37,99,98,3.85,RU,1670288278
248,paamiut,61.994,-49.6678,3.37,76,100,15.05,GL,1670288278
249,isla vista,34.4133,-119.861,16.57,73,4,6.1,US,1670288279
250,kualakapuas,-3.0091,114.3876,28.84,73,99,0.39,ID,1670288279
251,kapit,2.0167,112.9333,26.44,86,100,0.54,MY,1670288280
252,srednekolymsk,67.45,153.6833,-32.28,97,100,1.53,RU,1670288280
253,alekseyevskaya,50.2896,42.1845,-8.64,49,5,1.85,RU,1670288281
254,taltal,-25.4,-70.4833,18.91,74,22,1.47,CL,1670287630
255,monrovia,6.3005,-10.7969,25.61,85,100,1.43,LR,1670288281
256,chilca,-12.5211,-76.7372,18.7,88,18,2.87,PE,1670288282
257,khandyga,62.6667,135.6,-29.44,99,100,1.04,RU,1670288282
258,itaituba,-4.2761,-55.9836,23.88,93,99,0.41,BR,1670288283
259,ouango,4.3133,22.5552,20.33,99,33,1.0,CF,1670288283
260,sturgis,41.7992,-85.4192,5.14,56,100,2.57,US,1670288284
261,constitucion,-35.3333,-72.4167,13.51,81,0,4.44,CL,1670288284
262,tartus,34.889,35.8866,16.24,64,2,2.16,SY,1670288285
263,leiyang,26.4024,112.8591,5.24,88,100,1.63,CN,1670288286
264,harrisburg,40.2737,-76.8844,3.54,74,7,0.45,US,1670288185
265,pacifica,37.6138,-122.4869,13.86,83,0,2.57,US,1670288282
